Station,Station ID,Latitude,Longitude,Municipality,# of Docks
Fan Pier,A32000,42.35328743,-71.04438901,Boston,15
Union Square - Brighton Ave. at Cambridge St.,A32001,42.353334,-71.137313,Boston,15
Agganis Arena - 925 Comm Ave.,A32002,42.351246,-71.115639,Boston,19
B.U. Central - 725 Comm. Ave.,A32003,42.350406,-71.108279,Boston,11
Longwood Ave / Binney St,A32004,42.338629,-71.1065,Boston,15
Harvard Real Estate - Brighton Mills - 370 Western Ave,A32005,42.361667,-71.13802,Boston,15
Harvard University Housing - 111 Western Ave. at Soldiers Field Park ,A32006,42.365064,-71.119233,Boston,15
Buswell St. at Park Dr.,A32008,42.347241,-71.105301,Boston,15
Tremont St / W Newton St,A32009,42.341332,-71.076847,Boston,15
South Station - 700 Atlantic Ave.,A32010,42.352175,-71.055547,Boston,46
Innovation Lab - 125 Western Ave. at Batten Way,A32011,42.363732,-71.124565,Boston,15
Packard's Corner - Comm. Ave. at Brighton Ave.,A32012,42.352261,-71.123831,Boston,19
John F Fitzgerald - Surface Road at India Street,A32013,42.358155,-71.052163,Boston,19
Allston Green District - Commonwealth Ave & Griggs St,A32017,42.348607,-71.13401,Boston,15
Harvard University Transportation Services - 175 North Harvard St,A32019,42.363796,-71.129164,Boston,18
Edwards Playground - Main Street & Eden Street,A32022,42.378965,-71.068607,Boston,15
Bunker Hill Community College,A32023,42.37408991,-71.06905997,Boston,18
Nashua Street at Red Auerbach Way,A32025,42.36559771,-71.06424809,Boston,37
Purchase St at Pearl St,A32026,42.354686,-71.053292,Boston,19
Chelsea St at Saratoga St,A32027,42.37980321,-71.02744818,Boston,15
Bennington St at Byron St,A32028,42.38337842,-71.01612031,Boston,15
Piers Park- Marginal St at East Boston Shipyard,A32029,42.36489046,-71.03504241,Boston,19
Maverick Sq - Lewis Mall,A32030,42.36883857,-71.03976667,Boston,33
EBNHC - 20 Maverick Sq,A32031,42.36956287,-71.03942692,Boston,16
Airport T Stop - Bremen St at Brooks St,A32032,42.37536686,-71.03135884,Boston,15
The Eddy at New Street,A32033,42.37078455,-71.0442616,Boston,15
Glendon St at Condor St,A32034,42.38244736,-71.03023231,Boston,19
Orient Heights T Stop - Bennington St at Saratoga St,A32035,42.38673179,-71.00621223,Boston,19
Central Square East Boston - Porter Street at London Street,A32036,42.37430132,-71.03808671,Boston,15
Newbury St / Hereford St,B32000,42.34872432,-71.08583987,Boston,18
Ruggles Station / Columbus Ave.,B32002,42.335911,-71.088496,Boston,15
HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,B32003,42.337171,-71.102797,Boston,21
Aquarium Station - 200 Atlantic Ave.,B32004,42.35977,-71.051601,Boston,19
Christian Science Plaza,B32005,42.343864,-71.085918,Boston,19
Colleges of the Fenway,B32006,42.340021,-71.100812,Boston,15
Seaport Square - Seaport Blvd. at Boston Wharf,B32007,42.351205,-71.043983,Boston,19
Mayor Martin J Walsh - 28 State St,B32008,42.35892,-71.057629,Boston,21
